,Unnamed: 0,Unnamed: 1,Totals,Totals.1,Totals.2,Totals.3,Totals.4,Totals.5,Totals.6,Totals.7,Totals.8,Totals.9,Totals.10,Totals.11,Totals.12,Totals.13,Totals.14,Totals.15,Totals.16,Unnamed: 19,Shooting,Shooting.1,Shooting.2,Unnamed: 23,Advanced,Advanced.1,Advanced.2,Advanced.3,Advanced.4,Unnamed: 29,Per Game,Per Game.1,Per Game.2,Per Game.3
0,Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,+/-,&nbsp,MP,PTS,TRB,AST
1,,Total,64,64,2290,605,1318,187,485,295,340,50,472,276,75,31,171,122,1692,,.459,.386,.868,,.576,31.0,114,113,+3.4,,35.8,26.4,7.4,4.3
2,Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,+/-,&nbsp,MP,PTS,TRB,AST
3,Place,Home,32,32,1172,309,645,99,239,158,179,22,245,149,36,13,101,60,875,,.479,.414,.883,,.604,30.6,116,114,+3.6,,36.6,27.3,7.7,4.7
4,,Road,32,32,1118,296,673,88,246,137,161,28,227,127,39,18,70,62,817,,.440,.358,.851,,.549,31.5,111,112,+3.3,,34.9,25.5,7.1,4.0
5,Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,+/-,&nbsp,MP,PTS,TRB,AST
6,All-Star,Pre,31,31,1110,279,638,81,220,134,156,18,219,138,42,15,79,60,773,,.437,.368,.859,,.547,30.7,110,113,+3.8,,35.8,24.9,7.1,4.5
7,,Post,33,33,1180,326,680,106,265,161,184,32,253,138,33,16,92,62,919,,.479,.400,.875,,.604,31.3,117,114,+3.2,,35.8,27.8,7.7,4.2
8,Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,+/-,&nbsp,MP,PTS,TRB,AST
9,Result,Win,34,34,1195,331,688,116,271,161,178,19,257,151,36,17,85,64,939,,.481,.428,.904,,.613,30.7,121,110,+14.2,,35.1,27.6,7.6,4.4
10,,Loss,30,30,1095,274,630,71,214,134,162,31,215,125,39,14,86,58,753,,.435,.332,.827,,.537,31.3,106,117,-8.4,,36.5,25.1,7.2,4.2
11,Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,+/-,&nbsp,MP,PTS,TRB,AST
12,Month,December,5,5,168,45,100,15,36,13,15,1,41,16,7,3,14,5,118,,.450,.417,.867,,.553,30.6,105,113,+4.3,,33.7,23.6,8.2,3.2
13,,January,8,8,283,89,177,25,56,27,33,6,50,32,9,6,19,17,230,,.503,.446,.818,,.600,32.0,118,109,+9.7,,35.4,28.8,6.3,4.0
14,,February,16,16,581,131,330,37,117,85,95,10,111,80,22,6,40,34,384,,.397,.316,.895,,.516,30.9,108,114,-0.3,,36.3,24.0,6.9,5.0
15,,March,13,13,467,125,260,39,98,40,48,15,87,55,19,4,29,25,329,,.481,.398,.833,,.585,28.8,118,117,+4.0,,35.9,25.3,6.7,4.2
16,,April,15,15,545,149,311,51,123,96,109,12,136,67,9,4,49,25,445,,.479,.415,.881,,.620,32.5,118,112,+5.3,,36.3,29.7,9.1,4.5
17,,May,7,7,245,66,140,20,55,34,40,6,47,26,9,8,20,16,186,,.471,.364,.850,,.590,31.2,111,116,-0.6,,35.0,26.6,6.7,3.7
18,Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,+/-,&nbsp,MP,PTS,TRB,AST
19,Day,Sunday,13,13,437,113,244,36,88,56,64,12,94,62,11,6,32,29,318,,.463,.409,.875,,.584,30.4,116,112,-3.8,,33.6,24.5,7.2,4.8
20,,Monday,4,4,140,36,82,14,27,26,29,3,32,22,2,3,8,10,112,,.439,.519,.897,,.591,32.1,119,109,+12.1,,35.0,28.0,8.0,5.5
21,,Tuesday,10,10,374,87,192,27,72,53,62,6,68,46,13,4,32,21,254,,.453,.375,.855,,.579,30.0,113,118,+1.9,,37.4,25.4,6.8,4.6
22,,Wednesday,14,14,495,136,312,37,120,52,58,11,94,56,26,8,34,25,361,,.436,.308,.897,,.535,32.0,109,113,+4.1,,35.3,25.8,6.7,4.0
23,,Thursday,5,5,171,36,81,10,29,22,26,1,39,28,6,0,12,7,104,,.444,.345,.846,,.563,26.6,116,111,+20.3,,34.1,20.8,7.8,5.6
24,,Friday,14,14,530,150,316,48,114,68,80,15,110,51,11,10,44,25,416,,.475,.421,.850,,.592,32.0,112,116,-0.6,,37.8,29.7,7.9,3.6
25,,Saturday,4,4,144,47,91,15,35,18,21,2,35,11,6,0,9,5,127,,.516,.429,.857,,.633,32.6,121,104,+14.1,,36.1,31.8,8.8,2.8
26,Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,+/-,&nbsp,MP,PTS,TRB,AST
27,Role,Starter,64,64,2290,605,1318,187,485,295,340,50,472,276,75,31,171,122,1692,,.459,.386,.868,,.576,31.0,114,113,+3.4,,35.8,26.4,7.4,4.3
28,Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,+/-,&nbsp,MP,PTS,TRB,AST
29,Minutes,40+,9,9,371,110,221,35,72,78,91,9,83,42,13,2,26,20,333,,.498,.486,.857,,.638,33.1,126,116,+8.2,,41.2,37.0,9.2,4.7
30,,30-39,48,48,1732,448,991,132,368,201,231,35,343,206,58,29,137,92,1229,,.452,.359,.870,,.562,30.9,110,114,+0.4,,36.1,25.6,7.1,4.3
31,,20-29,7,7,186,47,106,20,45,16,18,6,46,28,4,0,8,10,130,,.443,.444,.889,,.571,28.1,120,104,+21.6,,26.6,18.6,6.6,4.0
32,Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,+/-,&nbsp,MP,PTS,TRB,AST
33,Rest,0 Days,11,11,392,109,245,34,99,60,68,5,75,45,13,5,28,22,312,,.445,.343,.882,,.567,32.7,113,112,+6.2,,35.7,28.4,6.8,4.1
34,,1 Day,42,42,1521,391,846,118,295,194,226,39,312,185,50,20,115,82,1094,,.462,.400,.858,,.579,30.4,113,115,-0.1,,36.2,26.0,7.4,4.4
35,,2 Days,8,8,277,70,156,23,65,38,42,6,69,36,9,4,22,13,201,,.449,.354,.905,,.576,30.6,116,105,+18.3,,34.6,25.1,8.6,4.5
36,,3+ Days,3,3,100,35,71,12,26,3,4,0,16,10,3,2,6,5,85,,.493,.462,.750,,.584,34.3,111,117,+4.9,,33.2,28.3,5.3,3.3
37,Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,+/-,&nbsp,MP,PTS,TRB,AST
38,Conference,Eastern,36,36,1280,330,720,102,277,146,172,23,266,163,39,24,99,75,908,,.458,.368,.849,,.571,30.2,112,114,+1.6,,35.6,25.2,7.4,4.5
39,,Western,28,28,1009,275,598,85,208,149,168,27,206,113,36,7,72,47,784,,.460,.409,.887,,.583,32.0,116,113,+5.9,,36.1,28.0,7.4,4.0
40,Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,+/-,&nbsp,MP,PTS,TRB,AST
41,Division,Atlantic,8,8,293,78,156,26,61,36,43,4,61,34,8,3,27,17,218,,.500,.426,.837,,.623,29.2,118,115,+7.0,,36.6,27.3,7.6,4.3
42,,Central,14,14,511,122,292,34,104,55,66,7,113,70,14,13,33,22,333,,.418,.327,.833,,.519,30.6,105,113,+0.6,,36.5,23.8,8.1,5.0
43,,Northwest,9,9,322,90,194,30,71,62,66,10,63,36,8,3,26,18,272,,.464,.423,.939,,.610,33.5,119,114,+3.2,,35.7,30.2,7.0,4.0
44,,Pacific,10,10,370,88,200,27,72,40,46,5,76,47,14,0,28,12,243,,.440,.375,.870,,.552,29.9,110,112,+5.5,,37.0,24.3,7.6,4.7
45,,Southeast,14,14,477,130,272,42,112,55,63,12,92,59,17,8,39,36,357,,.478,.375,.873,,.596,30.4,115,114,-0.7,,34.0,25.5,6.6,4.2
46,,Southwest,9,9,318,97,204,28,65,47,56,12,67,30,14,4,18,17,269,,.475,.431,.839,,.588,32.9,119,112,+9.0,,35.3,29.9,7.4,3.3
47,Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,+/-,&nbsp,MP,PTS,TRB,AST
48,Opponent,Atlanta,3,3,104,25,62,7,25,16,17,2,15,13,5,3,10,4,73,,.403,.280,.941,,.525,32.6,105,122,-9.8,,34.7,24.3,5.0,4.3
49,,Brooklyn,3,3,111,36,71,11,25,6,9,3,23,9,2,1,10,5,89,,.507,.440,.667,,.594,31.2,111,121,-8.3,,37.0,29.7,7.7,3.0
50,,Chicago,3,3,106,16,53,4,17,11,14,2,23,18,2,1,9,3,47,,.302,.235,.786,,.397,29.4,84,113,-4.7,,35.4,15.7,7.7,6.0
51,,Charlotte,3,3,101,26,54,8,24,16,19,5,27,14,2,0,8,8,76,,.481,.333,.842,,.609,29.9,125,116,-2.5,,33.6,25.3,9.0,4.7
52,,Cleveland,2,2,72,22,50,4,19,10,13,1,13,4,4,3,3,6,58,,.440,.211,.769,,.520,34.4,108,111,-9.2,,36.1,29.0,6.5,2.0
53,,Dallas,2,2,74,20,47,4,18,9,10,2,15,7,4,2,7,4,53,,.426,.222,.900,,.516,34.6,100,112,-16.4,,36.8,26.5,7.5,3.5
54,,Denver,2,2,66,15,41,3,15,16,16,2,16,10,2,0,6,5,49,,.366,.200,1.000,,.510,36.3,108,97,+8.6,,33.1,24.5,8.0,5.0
55,,Detroit,3,3,114,30,68,10,26,15,18,2,25,21,1,3,5,5,85,,.441,.385,.833,,.560,31.6,120,113,+6.3,,38.1,28.3,8.3,7.0
56,,Golden State,2,2,78,25,44,9,19,12,14,0,19,6,2,0,6,4,71,,.568,.474,.857,,.708,30.9,134,114,+16.1,,39.1,35.5,9.5,3.0
57,,Houston,2,2,60,18,34,8,16,5,5,1,15,6,1,1,6,4,49,,.529,.500,1.000,,.677,30.6,120,106,+28.9,,30.0,24.5,7.5,3.0
58,,Indiana,3,3,115,22,56,5,16,12,14,1,31,13,3,2,10,2,61,,.393,.313,.857,,.491,28.0,95,111,+2.5,,38.2,20.3,10.3,4.3
59,,LA Clippers,2,2,80,17,43,6,15,8,9,1,12,7,6,0,5,3,48,,.395,.400,.889,,.511,29.7,105,120,+3.3,,40.0,24.0,6.0,3.5
60,,LA Lakers,2,2,68,18,32,4,8,4,6,0,14,8,2,0,4,1,44,,.563,.500,.667,,.635,25.9,119,107,+10.6,,33.8,22.0,7.0,4.0
61,,Memphis,1,1,23,6,12,3,5,1,1,0,4,3,1,0,0,0,16,,.500,.600,1.000,,.643,22.7,140,106,+58.6,,23.2,16.0,4.0,3.0
